ds,y_pred
2025-02-24,112.58
2025-02-25,112.55
2025-02-26,112.33
2025-02-28,112.15
2025-03-01,110.87
2025-03-02,110.8
2025-03-03,111.79
2025-03-04,111.83
2025-03-05,111.78
2025-03-06,111.73
2025-03-07,111.66
2025-03-08,110.68
2025-03-09,110.68
2025-03-10,111.53
2025-03-11,111.57
2025-03-12,111.59
2025-03-13,111.22
2025-03-14,111.15
2025-03-15,109.8
2025-03-16,109.92
2025-03-17,111.44
2025-03-18,111.2
2025-03-19,111.32
2025-03-20,111.12
2025-03-21,110.86
2025-03-22,110.45
2025-03-23,110.65
2025-03-24,111.04
2025-03-25,111.18
2025-03-26,110.76
2025-03-27,110.77
2025-03-28,110.59
2025-03-29,110.89
2025-03-30,111.1
2025-03-31,110.48
2025-04-01,110.39
2025-04-02,110.37
2025-04-03,110.29
2025-04-04,110.12
2025-04-05,110.43
2025-04-06,110.56
2025-04-07,110.17
2025-04-08,110.25
2025-04-09,110.34
2025-04-10,110.43
2025-04-11,110.41
2025-04-12,110.67
2025-04-13,110.7
2025-04-14,110.03
2025-04-15,109.9
2025-04-16,109.73
2025-04-17,109.27
2025-04-18,109.18
2025-04-19,109.95
2025-04-20,109.97
2025-04-21,108.06
