ds,y_pred
2025-02-10,112.32
2025-02-11,112.48
2025-02-12,112.46
2025-02-14,112.49
2025-02-15,111.38
2025-02-16,111.43
2025-02-17,112.71
2025-02-18,112.69
2025-02-19,112.67
2025-02-20,112.69
2025-02-21,112.56
2025-02-22,111.61
2025-02-23,111.57
2025-02-24,112.35
2025-02-25,112.25
2025-02-26,112.15
2025-02-27,111.51
2025-02-28,111.28
2025-03-01,109.67
2025-03-02,109.61
2025-03-03,110.94
2025-03-04,110.55
2025-03-05,110.34
2025-03-06,109.92
2025-03-07,109.43
2025-03-08,108.57
2025-03-09,108.59
2025-03-10,109.0
2025-03-11,108.85
2025-03-12,108.29
2025-03-13,108.07
2025-03-14,107.69
2025-03-15,107.72
2025-03-16,107.87
2025-03-17,107.28
2025-03-18,107.14
2025-03-19,107.04
2025-03-20,106.95
2025-03-21,106.79
2025-03-22,107.13
2025-03-23,107.38
2025-03-24,107.13
2025-03-25,107.3
2025-03-26,107.58
2025-03-27,107.87
2025-03-28,108.07
2025-03-29,108.47
2025-03-30,108.72
2025-03-31,108.28
2025-04-01,108.29
2025-04-02,108.21
2025-04-03,107.86
2025-04-04,107.95
2025-04-05,108.67
